State,ID,Work Item Type,Title 1,Title 2,Effort,Parent
"In Progress","92638","Feature","Kontrolleinsatz auflisten, filtrieren und suchen",,,"114887"
"Removed","142076","Bug",,"Sorting column ""Kontrolleinsatztyp""","1","92638"
"New","135349","Feature","Kontrolldurchgang drucken",,,"135346"
"Estimated","140603","Product Backlog Item",,"Print function for inspection","8","135349"
"New","135454","Feature","ARV App - Betriebskontrollen importieren",,,"130660"
"Removed","141200","Product Backlog Item",,"ARV App - Technische Validierung",,"135454"
"In Progress","135550","Feature","ASTRANA - Auflistung nach Zeitraum",,,"125310"
"Removed","149472","Product Backlog Item",,"ASTRANA – Option „Alle“ im Organisationsfilter",,"135550"
"New","137650","Feature","Operative Statistik – Betriebskontrolle: Tab „Betriebskontrolle“",,,"132320"
"Estimated","140606","Product Backlog Item",,"Tab „Betriebskontrolle“: Struktur & Titel - Operative Statistik Betriebskontrolle","2","137650"
"Estimated","147090","Product Backlog Item",,"Tabelle „Betriebskontrolle“ - Operative Statistik Betriebskontrolle","5","137650"
"New","141954","Feature","ARV App - Persistenz, Import Tabelle & Log",,,"130660"
"Estimated","150625","Product Backlog Item",,"ARV APP – Import Log / Log-Details","5","141954"
"New","145493","Feature","SVKZ - E2E - File Upload",,,"124836"
"Removed","145495","Product Backlog Item",,"E2E - SVKZ - Fachliche Validierung",,"145493"
"New","146282","Feature","Änderungen der Gefahrgutprüfliste gem. Anhang in der RL 2022/1999 ",,,"114887"
"New","150705","Product Backlog Item",,"New Block ""Ergebnis/Zusätzlichen Angaben"" Part I",,"146282"
"New","150706","Product Backlog Item",,"New Block ""Ergebnis/Zusätzlichen Angaben"" Part II",,"146282"
"New","146523","Feature","Leistungsvereinbarung / Leistungsabrechnung - Erweiterungen",,,"145798"
"Estimated","150123","Product Backlog Item",,"Leistungsabrechnung - Persistenz der Filter in der Tabelle","3","146523"
"New","146528","Feature","Konsistentes Layout & Verhalten",,,"146139"
"Estimated","141681","Product Backlog Item",,"Unsaved changes needs popup","5","146528"
"Estimated","146140","Product Backlog Item",,"Sticky bar - inkonsistentes Verhalten im Strassenkontrolleinsatz","2","146528"
"Estimated","146350","Product Backlog Item",,"Keine Lösch- und Print-Buttons bei ungespeicherten Kontrolldurchgängen","2","146528"
"Estimated","147799","Product Backlog Item",,"Tabellen vereinheitlichen","5","146528"
"Estimated","148997","Product Backlog Item",,"Kontrolldauer Total Betriebskontrolle - Zeiteingabe vereinheitlichen","3","146528"
"New","146529","Feature","Fehlermeldungen und Fehlermarkierungen",,,"146139"
"Estimated","146174","Product Backlog Item",,"Abschliessen - Fehlermeldung im Strassenkontrolleinsatz und Kontrolldurchgang","3","146529"
"New","146697","Feature","Sprachen",,,"145800"
"Estimated","146699","Product Backlog Item",,"Italian Version - Improvements","1","146697"
"New","148961","Product Backlog Item","Operations support",,"0",
"New","149003","Feature","ASTRANA - Stabilisation",,,"125310"
"New","149946","Product Backlog Item",,"ASTRANA XML - Support, Analyse and Fix on PROD","5","149003"
"New","149004","Feature","ASTRANA - Improve technical solution",,,"125310"
"New","146866","Product Backlog Item",,"Source file 'Astra.Isk.Astrana.Export.Xml.cs' specified multiple times (?SP)","2","149004"
"New","150038","Feature","Backend",,,"149669"
"New","147890","Product Backlog Item",,"Fehlende Backend Übersetzungen ergänzen",,"150038"
"New","151395","Product Backlog Item","PostgreSQL/dauerhafte Datenbank in SN1 (für ASTRANA Worker)",,,
"New","151485","Product Backlog Item","RADIS: Upgrade auf .NET 10 (Vorbereitungen EJPD?)",,,
